"Model","r_hat","omega","alpha","beta","omega_se","alpha_se","beta_se","AIC"
"INGARCH(1,1)",NA,454.775933047643,0.573711923392515,0.24480516119116,25.5196336982795,0.0287296485253561,0.0354175669454413,8781.11134648418
"NBINGARCH(1,1)",17,17.4176957514872,0.0368361927993666,0.256280745699212,0.363616450581625,0.00174578148813836,0.027614989938154,5322.18953616574
"Log-linear",NA,1.48540513686401,0.572346130764263,0.23798097701551,0.154699738601252,0.0373503512718033,0.0516533933422913,8803.4649784441
