"Model","r_hat","omega","alpha","beta","omega_se","alpha_se","beta_se","AIC"
"INGARCH(1,1)",NA,8.19381906163005,0.353259773738533,0.6467055343675,5.84074169089345,0.0117598922279859,0.011974532349683,8217.30454379666
"NBINGARCH(1,1)",17,35.5044411290745,0.0411866388161756,0.198041208848874,0.794290465091252,0.00105767981979755,0.0178987454208822,5915.23148914277
"Log-linear",NA,0.0942463451620999,0.463890152865438,0.525462998093028,0.0281910211588134,0.0720095969111276,0.0739952552860484,8300.79816612825
